,Type,ASM,constrast,correl,variance,inv diff mom,sum aveg,sum var,sum entropy,entropy,dif var,dif entropy,IMC1,IMC2,colors
127,3,0.05156,631.98693,0.26803,435.01958,0.08639,337.80147,1108.09139,3.23487,4.31699,0.00068,2.97993,-0.76797,0.99731,0.43500
128,3,0.05057,1215.27737,0.38103,836.32056,0.09924,266.63521,2130.00489,3.25366,4.33414,0.00098,2.83160,-0.79094,0.99770,0.40500
129,3,0.05099,944.55188,0.27413,732.45676,0.08995,356.14747,1985.27518,3.27254,4.32352,0.00056,3.12533,-0.76230,0.99704,0.46250
130,3,0.05358,706.54167,0.22877,388.68404,0.17645,226.70098,848.19449,3.12968,4.27736,0.00132,2.61628,-0.71864,0.99473,0.33750
131,3,0.05128,1063.90564,0.27416,816.38271,0.10787,282.06250,2201.62519,3.25631,4.31985,0.00076,3.04739,-0.79611,0.99792,0.41000
132,3,0.06111,309.10498,0.37093,287.25094,0.22555,441.21855,839.89877,3.11930,4.15426,0.00067,2.81232,-0.67999,0.98659,0.54250
133,3,0.05641,407.22345,0.26084,279.11698,0.16589,257.80270,709.24447,3.10356,4.21933,0.00110,2.76265,-0.70182,0.99003,0.54250
134,3,0.05083,467.42239,0.29883,285.94749,0.07175,293.10948,676.36756,3.30637,4.33292,0.00084,2.90160,-0.79986,0.99791,0.43000
135,3,0.05354,702.07271,0.32676,491.47924,0.12596,374.12827,1263.84425,3.24171,4.27439,0.00071,2.89589,-0.75984,0.99231,0.45750
136,3,0.05709,35.64216,0.34668,33.45893,0.19980,235.09314,98.19356,3.08820,4.21505,0.00155,2.51708,-0.68658,0.99146,0.55000
137,3,0.05196,147.33864,0.39835,146.53727,0.09834,350.10580,438.81045,3.24057,4.31494,0.00074,2.90262,-0.78027,0.99748,0.45000
